,,Solenoid 1,,Magentometer 1,,,,Solenoid 2,,Magnetometer 2
üSolenoid,Switch:,0,Magnetometer:,77.98,,ÿSolenoid,Switch:,0,Magnetometer:,112.78
Solenoid,Switch:,0,Magnetometer:,78.05,,Solenoid,Switch:,0,Magnetometer:,119.42
Solenoid,Switch:,0,Magnetometer:,77.11,,Solenoid,Switch:,0,Magnetometer:,122.15
Solenoid,Switch:,0,Magnetometer:,78.24,,Solenoid,Switch:,0,Magnetometer:,117.18
Solenoid,Switch:,0,Magnetometer:,78.29,,Solenoid,Switch:,0,Magnetometer:,123.66
Solenoid,Switch:,0,Magnetometer:,77.97,,Solenoid,Switch:,0,Magnetometer:,116.52
Solenoid,Switch:,0,Magnetometer:,78.1,,Solenoid,Switch:,0,Magnetometer:,112.22
Solenoid,Switch:,0,Magnetometer:,77.47,,Solenoid,Switch:,0,Magnetometer:,118.86
Solenoid,Switch:,0,Magnetometer:,76.99,,Solenoid,Switch:,0,Magnetometer:,118.47
Solenoid,Switch:,0,Magnetometer:,78.2,,Solenoid,Switch:,0,Magnetometer:,114.64
Solenoid,Switch:,0,Magnetometer:,78.58,,Solenoid,Switch:,0,Magnetometer:,119.06
Solenoid,Switch:,0,Magnetometer:,77.6,,Solenoid,Switch:,0,Magnetometer:,122.55
Solenoid,Switch:,0,Magnetometer:,77.84,,Solenoid,Switch:,0,Magnetometer:,123.11
Solenoid,Switch:,0,Magnetometer:,78.3,,Solenoid,Switch:,0,Magnetometer:,113.78
Solenoid,Switch:,0,Magnetometer:,78.8,,Solenoid,Switch:,0,Magnetometer:,118.91
Solenoid,Switch:,0,Magnetometer:,77.8,,Solenoid,Switch:,0,Magnetometer:,111.44
Solenoid,Switch:,0,Magnetometer:,78.01,,Solenoid,Switch:,0,Magnetometer:,114.48
Solenoid,Switch:,0,Magnetometer:,78.52,,Solenoid,Switch:,0,Magnetometer:,123.21
Solenoid,Switch:,0,Magnetometer:,78.4,,Solenoid,Switch:,0,Magnetometer:,119.2
Solenoid,Switch:,0,Magnetometer:,77.68,,Solenoid,Switch:,0,Magnetometer:,117.39
Solenoid,Switch:,0,Magnetometer:,77.95,,Solenoid,Switch:,0,Magnetometer:,117.87
Solenoid,Switch:,0,Magnetometer:,76.73,,Solenoid,Switch:,0,Magnetometer:,117.22
Solenoid,Switch:,0,Magnetometer:,77.59,,Solenoid,Switch:,0,Magnetometer:,117.33
Solenoid,Switch:,0,Magnetometer:,79.36,,Solenoid,Switch:,0,Magnetometer:,124.87
Solenoid,Switch:,1,Magnetometer:,77.87,,Solenoid,Switch:,1,Magnetometer:,123.01
Solenoid,Switch:,1,Magnetometer:,197.35,,Solenoid,Switch:,1,Magnetometer:,117.56
Solenoid,Switch:,1,Magnetometer:,197.52,,Solenoid,Switch:,1,Magnetometer:,119.82
Solenoid,Switch:,1,Magnetometer:,197.34,,Solenoid,Switch:,1,Magnetometer:,111.85
Solenoid,Switch:,1,Magnetometer:,197.19,,Solenoid,Switch:,1,Magnetometer:,115.23
Solenoid,Switch:,1,Magnetometer:,197.61,,Solenoid,Switch:,1,Magnetometer:,113.44
Solenoid,Switch:,1,Magnetometer:,197.78,,Solenoid,Switch:,1,Magnetometer:,116.56
Solenoid,Switch:,1,Magnetometer:,197.38,,Solenoid,Switch:,1,Magnetometer:,118.25
Solenoid,Switch:,1,Magnetometer:,198.02,,Solenoid,Switch:,1,Magnetometer:,115.21
Solenoid,Switch:,1,Magnetometer:,197.46,,Solenoid,Switch:,1,Magnetometer:,119.35
Solenoid,Switch:,1,Magnetometer:,197.48,,Solenoid,Switch:,1,Magnetometer:,117.73
Solenoid,Switch:,1,Magnetometer:,197.56,,Solenoid,Switch:,1,Magnetometer:,111.7
Solenoid,Switch:,1,Magnetometer:,197.54,,Solenoid,Switch:,1,Magnetometer:,116.68
Solenoid,Switch:,1,Magnetometer:,197.44,,Solenoid,Switch:,1,Magnetometer:,120.46
Solenoid,Switch:,1,Magnetometer:,197.37,,Solenoid,Switch:,1,Magnetometer:,109.1
Solenoid,Switch:,1,Magnetometer:,197.26,,Solenoid,Switch:,1,Magnetometer:,112.5
Solenoid,Switch:,1,Magnetometer:,197.28,,Solenoid,Switch:,1,Magnetometer:,114.94
Solenoid,Switch:,1,Magnetometer:,197.53,,Solenoid,Switch:,1,Magnetometer:,116.25
Solenoid,Switch:,1,Magnetometer:,197.5,,Solenoid,Switch:,1,Magnetometer:,116.14
Solenoid,Switch:,1,Magnetometer:,197.28,,Solenoid,Switch:,1,Magnetometer:,123.19
Solenoid,Switch:,1,Magnetometer:,197.72,,Solenoid,Switch:,1,Magnetometer:,116.33
Solenoid,Switch:,1,Magnetometer:,197.2,,Solenoid,Switch:,1,Magnetometer:,117.66
Solenoid,Switch:,1,Magnetometer:,197.39,,Solenoid,Switch:,1,Magnetometer:,118.27
Solenoid,Switch:,0,Magnetometer:,197.57,,Solenoid,Switch:,0,Magnetometer:,118.39
Solenoid,Switch:,0,Magnetometer:,77.69,,Solenoid,Switch:,0,Magnetometer:,118.2
Solenoid,Switch:,0,Magnetometer:,77.95,,Solenoid,Switch:,0,Magnetometer:,123.78
Solenoid,Switch:,0,Magnetometer:,78.32,,Solenoid,Switch:,0,Magnetometer:,118.24
Solenoid,Switch:,0,Magnetometer:,77.09,,Solenoid,Switch:,0,Magnetometer:,115.23
Solenoid,Switch:,0,Magnetometer:,79.08,,Solenoid,Switch:,0,Magnetometer:,116.05
Solenoid,Switch:,0,Magnetometer:,77.83,,Solenoid,Switch:,0,Magnetometer:,118.96
Solenoid,Switch:,0,Magnetometer:,76.61,,Solenoid,Switch:,0,Magnetometer:,114.55
Solenoid,Switch:,0,Magnetometer:,77.91,,Solenoid,Switch:,0,Magnetometer:,114.22
Solenoid,Switch:,0,Magnetometer:,77.26,,Solenoid,Switch:,0,Magnetometer:,115.63
Solenoid,Switch:,0,Magnetometer:,75.8,,Solenoid,Switch:,0,Magnetometer:,123.49
Solenoid,Switch:,0,Magnetometer:,77.19,,Solenoid,Switch:,0,Magnetometer:,118.34
Solenoid,Switch:,0,Magnetometer:,77.12,,Solenoid,Switch:,0,Magnetometer:,113.34
Solenoid,Switch:,0,Magnetometer:,76.86,,Solenoid,Switch:,0,Magnetometer:,122
Solenoid,Switch:,0,Magnetometer:,77.51,,Solenoid,Switch:,0,Magnetometer:,113.58
Solenoid,Switch:,0,Magnetometer:,78.87,,Solenoid,Switch:,0,Magnetometer:,117.5
Solenoid,Switch:,0,Magnetometer:,76.6,,Solenoid,Switch:,0,Magnetometer:,116.68
Solenoid,Switch:,0,Magnetometer:,76.93,,Solenoid,Switch:,0,Magnetometer:,118.13
Solenoid,Switch:,0,Magnetometer:,77.24,,Solenoid,Switch:,0,Magnetometer:,120.42
Solenoid,Switch:,0,Magnetometer:,77.33,,Solenoid,Switch:,0,Magnetometer:,116.64
Solenoid,Switch:,0,Magnetometer:,76.79,,Solenoid,Switch:,0,Magnetometer:,118.45
Solenoid,Switch:,0,Magnetometer:,77.23,,Solenoid,Switch:,0,Magnetometer:,113.54
Solenoid,Switch:,0,Magnetometer:,76.7,,Solenoid,Switch:,0,Magnetometer:,119.29
Solenoid,Switch:,1,Magnetometer:,76.43,,Solenoid,Switch:,1,Magnetometer:,123.72
Solenoid,Switch:,1,Magnetometer:,197.41,,Solenoid,Switch:,1,Magnetometer:,113.21
Solenoid,Switch:,1,Magnetometer:,197.21,,Solenoid,Switch:,1,Magnetometer:,114.82
Solenoid,Switch:,1,Magnetometer:,197.46,,Solenoid,Switch:,1,Magnetometer:,119.82
Solenoid,Switch:,1,Magnetometer:,197.32,,Solenoid,Switch:,1,Magnetometer:,117.24
Solenoid,Switch:,1,Magnetometer:,197.25,,Solenoid,Switch:,1,Magnetometer:,126.14
Solenoid,Switch:,1,Magnetometer:,197.41,,Solenoid,Switch:,1,Magnetometer:,122.75
Solenoid,Switch:,1,Magnetometer:,197.11,,Solenoid,Switch:,1,Magnetometer:,123.91
Solenoid,Switch:,1,Magnetometer:,197.79,,Solenoid,Switch:,1,Magnetometer:,114.68
Solenoid,Switch:,1,Magnetometer:,197.36,,Solenoid,Switch:,1,Magnetometer:,122.84
Solenoid,Switch:,1,Magnetometer:,197.46,,Solenoid,Switch:,1,Magnetometer:,118.61
Solenoid,Switch:,1,Magnetometer:,197.13,,Solenoid,Switch:,1,Magnetometer:,118.01
Solenoid,Switch:,1,Magnetometer:,197.32,,Solenoid,Switch:,1,Magnetometer:,117.61
Solenoid,Switch:,1,Magnetometer:,197.51,,Solenoid,Switch:,1,Magnetometer:,122.35
Solenoid,Switch:,1,Magnetometer:,197.49,,Solenoid,Switch:,1,Magnetometer:,117.03
Solenoid,Switch:,1,Magnetometer:,197.57,,Solenoid,Switch:,1,Magnetometer:,117.43
Solenoid,Switch:,1,Magnetometer:,197.53,,Solenoid,Switch:,1,Magnetometer:,123.01
Solenoid,Switch:,1,Magnetometer:,197.53,,Solenoid,Switch:,1,Magnetometer:,118.68
Solenoid,Switch:,1,Magnetometer:,197.38,,Solenoid,Switch:,1,Magnetometer:,117.18
Solenoid,Switch:,1,Magnetometer:,197.54,,Solenoid,Switch:,1,Magnetometer:,122.81
Solenoid,Switch:,1,Magnetometer:,197.5,,Solenoid,Switch:,1,Magnetometer:,120.93
Solenoid,Switch:,1,Magnetometer:,197.42,,Solenoid,Switch:,1,Magnetometer:,113.3
Solenoid,Switch:,1,Magnetometer:,198.34,,Solenoid,Switch:,1,Magnetometer:,118.87
Solenoid,Switch:,0,Magnetometer:,197.46,,Solenoid,Switch:,0,Magnetometer:,117.22
Solenoid,Switch:,0,Magnetometer:,76.81,,Solenoid,Switch:,0,Magnetometer:,111.85
Solenoid,Switch:,0,Magnetometer:,76.94,,Solenoid,Switch:,0,Magnetometer:,115.73
Solenoid,Switch:,0,Magnetometer:,77.87,,Solenoid,Switch:,0,Magnetometer:,118.71
Solenoid,Switch:,0,Magnetometer:,77.34,,Solenoid,Switch:,0,Magnetometer:,113.88
Solenoid,Switch:,0,Magnetometer:,77.56,,Solenoid,Switch:,0,Magnetometer:,114.52
Solenoid,Switch:,0,Magnetometer:,77.36,,Solenoid,Switch:,0,Magnetometer:,118.53
Solenoid,Switch:,0,Magnetometer:,76.69,,Solenoid,Switch:,0,Magnetometer:,118.1
Solenoid,Switch:,0,Magnetometer:,77.15,,Solenoid,Switch:,0,Magnetometer:,114.77
Solenoid,Switch:,0,Magnetometer:,77.04,,Solenoid,Switch:,0,Magnetometer:,115.37
Solenoid,Switch:,0,Magnetometer:,76.7,,Solenoid,Switch:,0,Magnetometer:,120.68
Solenoid,Switch:,0,Magnetometer:,77.57,,Solenoid,Switch:,0,Magnetometer:,115.45
Solenoid,Switch:,0,Magnetometer:,78.26,,Solenoid,Switch:,0,Magnetometer:,112.15
Solenoid,Switch:,0,Magnetometer:,78.13,,Solenoid,Switch:,0,Magnetometer:,116.7
Solenoid,Switch:,0,Magnetometer:,77.18,,Solenoid,Switch:,0,Magnetometer:,118.81
Solenoid,Switch:,0,Magnetometer:,77.68,,Solenoid,Switch:,0,Magnetometer:,119
Solenoid,Switch:,0,Magnetometer:,78.25,,Solenoid,Switch:,0,Magnetometer:,117.17
Solenoid,Switch:,0,Magnetometer:,77.68,,Solenoid,Switch:,0,Magnetometer:,113.12
Solenoid,Switch:,0,Magnetometer:,77.29,,Solenoid,Switch:,0,Magnetometer:,114.29
Solenoid,Switch:,0,Magnetometer:,77.27,,Solenoid,Switch:,0,Magnetometer:,111.67
Solenoid,Switch:,0,Magnetometer:,77.64,,Solenoid,Switch:,0,Magnetometer:,117.32
Solenoid,Switch:,0,Magnetometer:,77.4,,Solenoid,Switch:,0,Magnetometer:,106
Solenoid,Switch:,0,Magnetometer:,76.91,,Solenoid,Switch:,0,Magnetometer:,116.22
Solenoid,Switch:,1,Magnetometer:,76.96,,Solenoid,Switch:,1,Magnetometer:,113.65
Solenoid,Switch:,1,Magnetometer:,76.99,,Solenoid,Switch:,1,Magnetometer:,116.15
Solenoid,Switch:,1,Magnetometer:,197.59,,Solenoid,Switch:,1,Magnetometer:,4.13
Solenoid,Switch:,1,Magnetometer:,197.51,,Solenoid,Switch:,1,Magnetometer:,106.47
Solenoid,Switch:,1,Magnetometer:,197.42,,Solenoid,Switch:,1,Magnetometer:,112.71
Solenoid,Switch:,1,Magnetometer:,197.53,,Solenoid,Switch:,1,Magnetometer:,118.41
Solenoid,Switch:,1,Magnetometer:,197.64,,Solenoid,Switch:,1,Magnetometer:,118.14
Solenoid,Switch:,1,Magnetometer:,197.31,,Solenoid,Switch:,1,Magnetometer:,115.15
Solenoid,Switch:,1,Magnetometer:,197.67,,Solenoid,Switch:,1,Magnetometer:,110.47
Solenoid,Switch:,1,Magnetometer:,198.18,,Solenoid,Switch:,1,Magnetometer:,114.84
Solenoid,Switch:,1,Magnetometer:,197.48,,Solenoid,Switch:,1,Magnetometer:,114.68
Solenoid,Switch:,1,Magnetometer:,197.5,,Solenoid,Switch:,1,Magnetometer:,120.8
Solenoid,Switch:,1,Magnetometer:,197.76,,Solenoid,Switch:,1,Magnetometer:,118.42
Solenoid,Switch:,1,Magnetometer:,197.33,,Solenoid,Switch:,1,Magnetometer:,113.37
Solenoid,Switch:,1,Magnetometer:,197.31,,Solenoid,Switch:,1,Magnetometer:,116.56
Solenoid,Switch:,1,Magnetometer:,197.66,,Solenoid,Switch:,1,Magnetometer:,118.99
Solenoid,Switch:,1,Magnetometer:,197.25,,Solenoid,Switch:,1,Magnetometer:,119.02
Solenoid,Switch:,1,Magnetometer:,197.46,,Solenoid,Switch:,1,Magnetometer:,115.39
Solenoid,Switch:,1,Magnetometer:,197.09,,Solenoid,Switch:,1,Magnetometer:,112.35
Solenoid,Switch:,1,Magnetometer:,197.36,,Solenoid,Switch:,1,Magnetometer:,109.78
Solenoid,Switch:,1,Magnetometer:,197.44,,Solenoid,Switch:,1,Magnetometer:,113.64
Solenoid,Switch:,1,Magnetometer:,197.39,,Solenoid,Switch:,1,Magnetometer:,111.56
Solenoid,Switch:,1,Magnetometer:,197.56,,Solenoid,Switch:,1,Magnetometer:,115.42
Solenoid,Switch:,0,Magnetometer:,197.58,,Solenoid,Switch:,0,Magnetometer:,116.56
Solenoid,Switch:,0,Magnetometer:,76.81,,Solenoid,Switch:,0,Magnetometer:,112.74
Solenoid,Switch:,0,Magnetometer:,76.99,,Solenoid,Switch:,0,Magnetometer:,117.6
Solenoid,Switch:,0,Magnetometer:,77.22,,Solenoid,Switch:,0,Magnetometer:,115.1
Solenoid,Switch:,0,Magnetometer:,77.13,,Solenoid,Switch:,0,Magnetometer:,117.77
Solenoid,Switch:,0,Magnetometer:,77.1,,Solenoid,Switch:,0,Magnetometer:,116.92
Solenoid,Switch:,0,Magnetometer:,77.19,,Solenoid,Switch:,0,Magnetometer:,118.96
Solenoid,Switch:,0,Magnetometer:,77.08,,Solenoid,Switch:,0,Magnetometer:,117.06
Solenoid,Switch:,0,Magnetometer:,76.81,,Solenoid,Switch:,0,Magnetometer:,119.48
Solenoid,Switch:,0,Magnetometer:,77.4,,Solenoid,Switch:,0,Magnetometer:,119.43
Solenoid,Switch:,0,Magnetometer:,77.12,,Solenoid,Switch:,0,Magnetometer:,114.34
Solenoid,Switch:,0,Magnetometer:,76.62,,Solenoid,Switch:,0,Magnetometer:,117.57
Solenoid,Switch:,0,Magnetometer:,77.43,,Solenoid,Switch:,0,Magnetometer:,118.84
Solenoid,Switch:,0,Magnetometer:,78.01,,Solenoid,Switch:,0,Magnetometer:,119.56
Solenoid,Switch:,0,Magnetometer:,77.41,,Solenoid,Switch:,0,Magnetometer:,114.32
Solenoid,Switch:,0,Magnetometer:,77.3,,Solenoid,Switch:,0,Magnetometer:,117.23
Solenoid,Switch:,0,Magnetometer:,77.55,,Solenoid,Switch:,0,Magnetometer:,118.1
Solenoid,Switch:,0,Magnetometer:,76.72,,Solenoid,Switch:,0,Magnetometer:,114.58
Solenoid,Switch:,0,Magnetometer:,76.83,,Solenoid,Switch:,0,Magnetometer:,117.59
Solenoid,Switch:,0,Magnetometer:,76.7,,Solenoid,Switch:,0,Magnetometer:,119.4
Solenoid,Switch:,0,Magnetometer:,77.02,,Solenoid,Switch:,0,Magnetometer:,122.05
Solenoid,Switch:,0,Magnetometer:,78.08,,Solenoid,Switch:,0,Magnetometer:,119.4
Solenoid,Switch:,0,Magnetometer:,76.64,,Solenoid,Switch:,0,Magnetometer:,118.79
Solenoid,Switch:,1,Magnetometer:,77.5,,Solenoid,Switch:,1,Magnetometer:,117.63
Solenoid,Switch:,1,Magnetometer:,77.83,,Solenoid,Switch:,1,Magnetometer:,114.73
Solenoid,Switch:,1,Magnetometer:,197.66,,Solenoid,Switch:,1,Magnetometer:,117.53
Solenoid,Switch:,1,Magnetometer:,197.45,,Solenoid,Switch:,1,Magnetometer:,116.84
Solenoid,Switch:,1,Magnetometer:,197.67,,Solenoid,Switch:,1,Magnetometer:,111.56
Solenoid,Switch:,1,Magnetometer:,197.64,,Solenoid,Switch:,1,Magnetometer:,113.14
Solenoid,Switch:,1,Magnetometer:,197.47,,Solenoid,Switch:,1,Magnetometer:,118.26
Solenoid,Switch:,1,Magnetometer:,197.25,,Solenoid,Switch:,1,Magnetometer:,110.85
Solenoid,Switch:,1,Magnetometer:,197.57,,Solenoid,Switch:,1,Magnetometer:,112.66
Solenoid,Switch:,1,Magnetometer:,197.51,,Solenoid,Switch:,1,Magnetometer:,115.37
Solenoid,Switch:,1,Magnetometer:,197.32,,Solenoid,Switch:,1,Magnetometer:,114.47
Solenoid,Switch:,1,Magnetometer:,197.64,,Solenoid,Switch:,1,Magnetometer:,115.13
Solenoid,Switch:,1,Magnetometer:,197.73,,Solenoid,Switch:,1,Magnetometer:,113.63
Solenoid,Switch:,1,Magnetometer:,197.53,,Solenoid,Switch:,1,Magnetometer:,109.36
Solenoid,Switch:,1,Magnetometer:,197.38,,Solenoid,Switch:,1,Magnetometer:,110.49
Solenoid,Switch:,1,Magnetometer:,197.5,,Solenoid,Switch:,1,Magnetometer:,113.06
Solenoid,Switch:,1,Magnetometer:,197.88,,Solenoid,Switch:,1,Magnetometer:,117.23
Solenoid,Switch:,1,Magnetometer:,197.56,,Solenoid,Switch:,1,Magnetometer:,113.16
Solenoid,Switch:,1,Magnetometer:,197.2,,Solenoid,Switch:,1,Magnetometer:,117.44
Solenoid,Switch:,1,Magnetometer:,197.36,,Solenoid,Switch:,1,Magnetometer:,121.29
Solenoid,Switch:,1,Magnetometer:,197.24,,Solenoid,Switch:,1,Magnetometer:,116.61
Solenoid,Switch:,1,Magnetometer:,197.73,,Solenoid,Switch:,1,Magnetometer:,117.12
Solenoid,Switch:,1,Magnetometer:,197.61,,Solenoid,Switch:,1,Magnetometer:,124.08
Solenoid,Switch:,0,Magnetometer:,197.46,,Solenoid,Switch:,0,Magnetometer:,115.51
Solenoid,Switch:,0,Magnetometer:,197.57,,Solenoid,Switch:,0,Magnetometer:,109.49
Solenoid,Switch:,0,Magnetometer:,77.53,,Solenoid,Switch:,0,Magnetometer:,115.28
Solenoid,Switch:,0,Magnetometer:,77.29,,Solenoid,Switch:,0,Magnetometer:,110.87
Solenoid,Switch:,0,Magnetometer:,78.63,,Solenoid,Switch:,0,Magnetometer:,119.07
Solenoid,Switch:,0,Magnetometer:,77.64,,Solenoid,Switch:,0,Magnetometer:,118.15
Solenoid,Switch:,0,Magnetometer:,77.11,,Solenoid,Switch:,0,Magnetometer:,115.52
Solenoid,Switch:,0,Magnetometer:,77.88,,Solenoid,Switch:,0,Magnetometer:,113.95
Solenoid,Switch:,0,Magnetometer:,77.6,,Solenoid,Switch:,0,Magnetometer:,114.42
Solenoid,Switch:,0,Magnetometer:,76.8,,Solenoid,Switch:,0,Magnetometer:,113.5
Solenoid,Switch:,0,Magnetometer:,78.24,,Solenoid,Switch:,0,Magnetometer:,112.68
Solenoid,Switch:,0,Magnetometer:,78.05,,Solenoid,Switch:,0,Magnetometer:,114.85
Solenoid,Switch:,0,Magnetometer:,76.43,,Solenoid,Switch:,0,Magnetometer:,116.51
Solenoid,Switch:,0,Magnetometer:,78.73,,Solenoid,Switch:,0,Magnetometer:,118.43
Solenoid,Switch:,0,Magnetometer:,77.09,,Solenoid,Switch:,0,Magnetometer:,115.35
Solenoid,Switch:,0,Magnetometer:,76.92,,Solenoid,Switch:,0,Magnetometer:,119.4
Solenoid,Switch:,0,Magnetometer:,75.94,,Solenoid,Switch:,0,Magnetometer:,119.49
Solenoid,Switch:,0,Magnetometer:,77.36,,Solenoid,Switch:,0,Magnetometer:,113.9
Solenoid,Switch:,0,Magnetometer:,77.47,,Solenoid,Switch:,0,Magnetometer:,109.79
Solenoid,Switch:,0,Magnetometer:,76.77,,Solenoid,Switch:,0,Magnetometer:,111.54
Solenoid,Switch:,0,Magnetometer:,77.33,,Solenoid,Switch:,0,Magnetometer:,119.79
Solenoid,Switch:,0,Magnetometer:,77.13,,Solenoid,Switch:,0,Magnetometer:,112.98
Solenoid,Switch:,0,Magnetometer:,76.76,,Solenoid,Switch:,0,Magnetometer:,112.13
Solenoid,Switch:,1,Magnetometer:,78.18,,Solenoid,Switch:,1,Magnetometer:,115.7
Solenoid,Switch:,1,Magnetometer:,77.31,,Solenoid,Switch:,1,Magnetometer:,111.74
Solenoid,Switch:,1,Magnetometer:,197.53,,Solenoid,Switch:,1,Magnetometer:,113.68
Solenoid,Switch:,1,Magnetometer:,197.45,,Solenoid,Switch:,1,Magnetometer:,110.8
Solenoid,Switch:,1,Magnetometer:,197.62,,Solenoid,Switch:,1,Magnetometer:,109.95
Solenoid,Switch:,1,Magnetometer:,197.68,,Solenoid,Switch:,1,Magnetometer:,107.4
Solenoid,Switch:,1,Magnetometer:,197.59,,Solenoid,Switch:,1,Magnetometer:,113
Solenoid,Switch:,1,Magnetometer:,197.62,,Solenoid,Switch:,1,Magnetometer:,113.35
Solenoid,Switch:,1,Magnetometer:,197.43,,Solenoid,Switch:,1,Magnetometer:,107.64
Solenoid,Switch:,1,Magnetometer:,197.64,,Solenoid,Switch:,1,Magnetometer:,119.49
Solenoid,Switch:,1,Magnetometer:,197.48,,Solenoid,Switch:,1,Magnetometer:,118.95
Solenoid,Switch:,1,Magnetometer:,197.35,,Solenoid,Switch:,1,Magnetometer:,113.41
Solenoid,Switch:,1,Magnetometer:,197.62,,Solenoid,Switch:,1,Magnetometer:,111.36
Solenoid,Switch:,1,Magnetometer:,197.41,,Solenoid,Switch:,1,Magnetometer:,117.46
Solenoid,Switch:,1,Magnetometer:,197.08,,Solenoid,Switch:,1,Magnetometer:,116.36
Solenoid,Switch:,1,Magnetometer:,197.32,,Solenoid,S,,,
Solenoid,Switch:,1,Magnetometer:,197.57,,,,,,
Solenoid,Switch:,1,Magnetometer:,197.57,,,,,,
Solenoid,Switch:,1,Magnetometer:,197.37,,,,,,
Solenoid,Switch:,1,Magnetometer:,197.51,,,,,,
Solenoid,Switch:,1,Magnetometer:,197.27,,,,,,
Solenoid,Switch:,1,Magnetometer:,197.41,,,,,,
Solenoid,Switch:,1,Magnetometer:,197.33,,,,,,
Solenoid,Switch:,0,Magnetometer:,197.69,,,,,,
Solenoid,Switch:,0,Magnetometer:,197.62,,,,,,
Solenoid,Switch,,,,,,,,,